author_a,author_b,author_a_name,author_b_name,papers_shared,weight_frac,both_faculty
shleifer_andrei_01,vishny_robert_01,Andrei Shleifer,Robert Vishny,65,42.833333,false
banerjee_abhijitv_02,duflo_esther_01,Abhijit V. Banerjee,Esther Duflo),59,22.036097,false
goldin_claudia_01,katz_lawrencef_01,Claudia Goldin,Lawrence F. Katz,51,42.000000,true
choi_jamesj_01,laibson_david_01,James J.Choi,David Laibson,48,13.463335,false
acemoglu_daron_01,robinson_jamesa_01,Daron Acemoglu,James A. Robinson,46,29.083333,false
choi_jamesj_01,madrian_brigittec_01,James J.Choi,Brigitte C. Madrian,45,12.380002,false
laibson_david_01,madrian_brigittec_01,David Laibson,Brigitte C. Madrian,45,12.380002,false
gennaioli_nicola_01,shleifer_andrei_01,Nicola Gennaioli,Andrei Shleifer,42,18.866667,false
stock_james_01,watson_chelsea_01,James Stock,Chelsea Watson,37,33.166667,false
acemoglu_daron_01,ozdaglar_asumane_01,Daron Acemoglu,Asuman E. Ozdaglar,36,18.250000,false
chernozhukov_victor_01,fernandezval_ivan_01,Victor Chernozhukov,Iván Fernández-Val,36,15.400000,false
beshears_john_01,choi_jamesj_01,John Beshears,James J.Choi,33,7.980002,false
beshears_john_01,laibson_david_01,John Beshears,David Laibson,33,7.980002,false
laporta_rafael_01,shleifer_andrei_01,Rafael LaPorta,Andrei Shleifer,33,12.666667,false
stock_james_01,watson_markw_02,James Stock,Mark W. Watson,33,26.543478,false
beshears_john_01,madrian_brigittec_01,John Beshears,Brigitte C. Madrian,31,7.396669,false
bergemann_dirk_01,morris_stephen_03,Dirk Bergemann,Stephen Morris,30,21.750000,false
reinhart_carmenm_01,rogoff_kenneth_01,Carmen M. Reinhart,Kenneth Rogoff,30,22.166667,false
morris_stephen_03,shin_hyunsong_01,Stephen Morris,Hyun Song Shin,29,24.833333,false
barndorffnielsen_olee_01,shephard_neil_02,Ole E. Barndorff-Nielsen,Neil Shephard,28,20.083333,false
bordalo_pedro_01,gennaioli_nicola_01,Pedro Bordalo,Nicola Gennaioli,28,10.533333,false
bordalo_pedro_01,shleifer_andrei_01,Pedro Bordalo,Andrei Shleifer,28,10.533333,false
chernozhukov_victor_01,newey_whitneyk_02,Victor Chernozhukov,Whitney K. Newey,28,9.683333,false
lopezdesilanes_florencio_01,shleifer_andrei_01,Florencio Lopez-de-Silanes,Andrei Shleifer,28,10.033333,false
chernozhukov_victor_01,hansen_christian_01,Victor Chernozhukov,Christian Hansen,27,13.800000,false
banerjee_abhijitv_02,olken_benjamina_01,Abhijit V. Banerjee,Benjamin A. Olken,26,4.796561,true
kleinberg_jonm_01,mullainathan_sendhil_01,Jon M. Kleinberg,Sendhil Mullainathan,25,9.983333,false
laporta_rafael_01,lopezdesilanes_florencio_01,Rafael LaPorta,Florencio Lopez-de-Silanes,25,8.833333,false
acemoglu_daron_01,johnson_simon_05,Daron Acemoglu,Simon Johnson,23,12.250000,false
belloni_a_01,chernozhukov_victor_01,A. Belloni,Victor Chernozhukov,23,12.750000,false
breza_emily_02,chandrasekhar_arung_02,Emily Breza,Arun G. Chandrasekhar,23,6.432526,false
glaeser_edwardl_01,shleifer_andrei_01,Edward L. Glaeser,Andrei Shleifer,23,14.500000,true
green_jerry_04,laffont_jeanjacques_01,Jerry Green,Jean-Jacques Laffont,23,22.000000,false
hanna_rema_01,olken_benjamina_01,Rema Hanna,Benjamin A. Olken,23,5.976190,false
acemoglu_daron_01,restrepo_pascual_01,Daron Acemoglu,Pascual Restrepo,22,16.181818,false
angrist_joshuad_01,pathak_paraga_01,Joshua D. Angrist,Parag A. Pathak,21,6.583333,true
banerjee_abhijitv_02,chandrasekhar_arung_02,Abhijit V. Banerjee,Arun G. Chandrasekhar,21,4.473002,false
bertrand_marianne_01,mullainathan_sendhil_01,Marianne Bertrand,Sendhil Mullainathan,21,14.250000,false
pathak_paraga_01,sonmez_tayfun_02,Parag A. Pathak,Tayfun Sönmez,21,8.653968,false
autor_davidh_01,dorn_david_01,David H. Autor,David Dorn,20,8.833333,false
banerjee_abhijitv_02,hanna_rema_01,Abhijit V. Banerjee,Rema Hanna,20,5.442857,false
cutler_davidm_01,rosen_allisonb_02,David M. Cutler,Allison B. Rosen,20,7.202778,false
gentzkow_matthewa_01,shapiro_jessem_03,Matthew A. Gentzkow,Jesse M. Shapiro,20,12.083333,false
