author_id,display_name,name_variants,prof_id_if_faculty,is_faculty
1013_x_01,10-13.,10-13.,,false
112_x_01,112,112,,false
1134411349_2020117_01,2020 (117): 11344-11349.,2020 (117): 11344-11349.,,false
11551189_theorecticaleconomics201712_01,Theorectical Economics. 2017 (12): 1155-1189.,Theorectical Economics. 2017 (12): 1155-1189.,,false
11_theeconomy_01,the Economy 11,the Economy 11,,false
12711315_202318_01,2023 (18): 1271–1315,2023 (18): 1271–1315,,false
128_p_01,p. 1-28.,p. 1-28.,,false
12_volume_01,Volume 12,Volume 12,,false
130132_p_01,p. 130-132.,p. 130-132.,,false
1337_x_01,1337,1337,,false
135172_201914_01,2019 (14): 135-172.,2019 (14): 135-172.,,false
14071439_202318_01,2023 (18): 1407–1439,2023 (18): 1407–1439,,false
140_p_01,p. 1-40.,p. 1-40.,,false
1419_x_01,14-19.,14-19.,,false
146162_x_01,146-162.,146-162.,,false
150175_pp_01,pp. 150-175,pp. 150-175,,false
1540_theoreticaleconomics20072_01,Theoretical Economics. 2007 (2): 15-40.,Theoretical Economics. 2007 (2): 15-40.,,false
1569_x_01,156(9),156(9),,false
159_pp_01,pp 1-59,pp 1-59,,false
161_x_01,16(1),16(1),,false
1621_x_01,162(1),162(1),,false
164203_pp_01,pp 164-203,pp 164-203,,false
169211_x_01,169-211.,169-211.,,false
16_theeconomy_01,the Economy 16,the Economy 16,,false
18_2020_01,2020 (18).,2020 (18).,,false
18_june_01,June 18,18|June 18,,false
191_x_01,19(1),19(1),,false
1987_x_01,1987,1987,,false
1994_october_01,October 1994.,October 1994.,,false
1996_x_01,1996,1996,,false
19971_x_01,1997:1,1997:1,,false
1997_januaryfebruary_01,January/February 1997,1997|January/February 1997,,false
1998_x_01,1998,1998,,false
1999_x_01,1999,1999,,false
1_issue_01,Issue 1.,1|Issue 1.,,false
1_volume_02,Volume 1,Volume 1,,false
1_withmelissadellreviewofeconomicstudies87_01,with Melissa Dell. Review of Economic Studies 87 (1),with Melissa Dell. Review of Economic Studies 87 (1),,false
2000_januaryfebruary_01,January/February 2000,January/February 2000,,false
2000_october_02,October 2000.,2000|October 2000.,,false
2001_x_01,2001,2001,,false
20022003_winter_01,Winter 2002-2003,Winter 2002-2003,,false
2002_julyseptember_01,July-September 2002,2002|July-September 2002,,false
2002_marchapril_02,March/April 2002,March/April 2002,,false
2004_x_01,2004,2004,,false
2005_x_01,2005,2005,,false
2006_april_01,April 2006,2006|April 2006,,false
2006_october_02,October 2006.,October 2006.,,false
2006_septemberoctober_03,September-October 2006,September-October 2006,,false
2007_volume1oxfordelsevierscience_01,Volume 1. Oxford: Elsevier Science. 2007.,2007|Volume 1. Oxford: Elsevier Science. 2007.,,false
2008_august_01,August 2008.,August 2008.,,false
2009_67720735_01,67: 720-735 (2009).,67: 720-735 (2009).,,false
2009_winter_01,Winter 2009,2009.|Winter 2009,,false
2010_5479518_01,5: 479-518 (2010).,5: 479-518 (2010).,,false
2010_september_01,September 2010,2010|2010.|September 2010,,false
2011_73595607_01,73: 595-607 (2011).,73: 595-607 (2011).,,false
2011_january_01,January 2011,2011.|January 2011,,false
2012_july_01,July 2012.,July 2012.,,false
2012_may_02,May 2012,May 2012,,false
2013_8186100_01,81: 86-100 (2013).,81: 86-100 (2013).,,false
2013_x_01,2013.,2013.,,false
2014_summer_01,Summer 2014.,2014.|Summer 2014.,,false
2015_1067101_01,10: 67-101 (2015).,10: 67-101 (2015).,,false
2015_x_01,2015,2015,,false
2016_119711004_01,11: 971-1004 (2016).,11: 971-1004 (2016).,,false
2016_extendedversionpublishedinacmteac_01,Extended Version published in ACM: TEAC 2016,Extended Version published in ACM: TEAC 2016,,false
2016_thestateoftheworldconferenceseptember_02,The State of the World Conference. September 2016,2016.|The State of the World Conference. September 2016,,false
2017_12691729_01,12: 691-729 (2017).,12: 691-729 (2017).,,false
2017_april_01,April 2017,April 2017,,false
2017_march_02,March 2017,March 2017,,false
2018_december_01,December 2018,December 2018,,false
2019_august_01,August 2019,August 2019,,false
2019_january_02,January 2019,January 2019,,false
2020_1171134411349_01,117: 11344-11349 (2020).,117: 11344-11349 (2020).,,false
2020_x_01,2020,2020,,false
2021_x_01,2021,2021,,false
2022_february_01,February 2022,February 2022,,false
2022_july_02,July 2022,July 2022,,false
2022_may_03,May 2022,May 2022,,false
2022_palgravemacmillan_01,Palgrave MacMillan (2022).,Palgrave MacMillan (2022).,,false
2023_1813451373_01,18: 1345-1373 (2023).,18: 1345-1373 (2023).,,false
2024_1913991413_01,19: 1399-1413 (2024).,19: 1399-1413 (2024).,,false
2024_davidyangjune_01,David Yang ®. June 2024.,David Yang ®. June 2024.,,false
2024_elsevier_02,Elsevier (2024).,Elsevier (2024).,,false
2024_june_02,June 2024.,June 2024.,,false
2024_withisaiahandrewsjune_01,with Isaiah Andrews (June 2024),with Isaiah Andrews (June 2024),,false
2025_2014611520_01,20: 1461-1520 (2025).,20: 1461-1520 (2025).,,false
2025_april_01,April 2025.,April 2025.,,false
2025_cambridge_02,Cambridge (2025).,Cambridge (2025).,,false
2025_franciscocostanovember_02,Francisco Costa. November 2025.,Francisco Costa. November 2025.,,false
2025_june_03,June 2025.,June 2025.,,false
2025_remahannaaugust_04,Rema Hanna ®. August 2025.,Rema Hanna ®. August 2025.,,false
2025_shreyatandonnovember_05,Shreya Tandon. November 2025.,2025|Shreya Tandon. November 2025.,,false
2026_baiyunjingmarch_01,Baiyun Jing (March 2026),Baiyun Jing (March 2026),,false
20_september_01,September 20,September 20,,false
212_x_01,21(2),21(2),,false
223228_p_01,p. 223-228.,p. 223-228.,,false
23andmeresearchgroup_x_01,23andMe_Research_Group,23andMe_Research_Group,,false
23andmeresearchteam_x_01,23andMe_Research_Team,23andMe_Research_Team,,false
254_p_01,p.254.,p.254.,,false
254_x_01,25(4),25(4),,false
27532_nberwp_01,NBER WP #27532,NBER WP #27532,,false
2753_x_01,27-53.,27-53.,,false
294_x_01,294,294,,false
29_x_01,29,29,,false
2_volume_01,Volume 2,Vo. 2|Volume 2,,false
2_withmichaelkremeramericaneconomicjournalappliedeconomics1_01,with Michael Kremer. American Economic Journal: Applied Economics 1 (2),with Michael Kremer. American Economic Journal: Applied Economics 1 (2),,false
30_x_01,30,30,,false
332_x_01,3-32,3-32,,false
33_x_01,3(3),3(3),,false
363_x_01,36(3),36(3),,false
364381_economicbehavior2018109_01,Economic Behavior. 2018 (109): 364-381.,Economic Behavior. 2018 (109): 364-381.,,false
365_x_01,36(5),36(5),,false
36_x_01,36,36,,false
3766_p_01,p. 37-66.,p. 37-66.,,false
37_x_01,3(7),3(7),,false
3963_p_01,p. 39-63.,p. 39-63.,,false
3_statistics90_01,Statistics 90 (3),Statistics 90 (3),,false
3_withbenjonesquarterlyjournalofeconomics120_02,with Ben Jones. Quarterly Journal of Economics 120 (3),with Ben Jones. Quarterly Journal of Economics 120 (3),,false
3_withchangtaihsiehjournalofeconomicperspectives28_03,with Chang-Tai Hsieh. Journal of Economic Perspectives 28 (3),with Chang-Tai Hsieh. Journal of Economic Perspectives 28 (3),,false
42125_2022112_01,2022 (112): 421-25.,2022 (112): 421-25.,,false
435_x_01,43(5),43(5),,false
479505_pp_01,pp. 479-505,pp. 479-505,,false
4_withrohinipandeannualreviewofeconomics_01,with Rohini Pande. Annual Review of Economics 4,with Rohini Pande. Annual Review of Economics 4,,false
5257_x_01,52-57.,52-57.,,false
55_x_01,55,55,,false
582587_pp_01,pp. 582–587,pp. 582–587,,false
5_handbookofinternationaleconomicsvolume_01,Handbook of International Economics (Volume 5),Handbook of International Economics (Volume 5),,false
5_theeconomy_01,the Economy 5,the Economy 5,,false
645706_p_01,p. 645-706.,p. 645-706.,,false
6586_p_01,p. 65-86.,p. 65-86.,,false
6_urbaneconomicsvolume_01,Urban Economics (Volume 6),Urban Economics (Volume 6),,false
73100_x_01,73-100.,73-100.,,false
79_x_01,7-9.,7-9.,,false
864_pp835_01,pp. 835 -864,pp. 835 -864,,false
89108_pp_01,pp. 89-108,pp. 89-108,,false
94_x_01,94,94,,false
96120_2020120_01,2020 (120): 96-120.,2020 (120): 96-120.,,false
9_theeconomy_01,the Economy 9,the Economy 9,,false
aaron_henryj_01,Henry J. Aaron,Henry J. Aaron,,false
abadie_alberto_01,Alberto Abadie,Alberto Abadie,mit_abadie_alberto,true
abaluck_jason_01,Jason Abaluck,Jason Abaluck,,false
abbas_smali_01,S. M. Ali Abbas,S. M. Ali Abbas,,false
abbiasov_timur_01,Timur Abbiasov,Timur Abbiasov,,false
abbring_jh_01,J. H. Abbring,J. H. Abbring,,false
abdellaoui_abdel_01,Abdel Abdellaoui,Abdel Abdellaoui,,false
abdulkadiroglu_atila_01,Atila Abdulkadiroğlu,Atila Abdulkadiroglu|Atila Abdulkadiroğlu,,false
abdulkadiroglu_withatila_02,with Atila Abdulkadiroglu,with Atila Abdulkadiroglu,,false
abel_andrew_01,Andrew Abel,Andrew Abel,,false
abowd_john_01,John Abowd,John Abowd,,false
abraham_katharine_01,Katharine Abraham,Katharine Abraham,,false
abraham_sarah_02,Sarah Abraham,Sarah Abraham,,false
abrevaya_withjason_01,with Jason Abrevaya,with Jason Abrevaya,,false
abujaber_samer_01,Samer Abujaber,Samer Abujaber,,false
abulafi_amira_01,Amira Abulafi,A. Abulafi|Amira Abulafi,,false
accumulation_intheeconomicsofasset_01,in The Economics of Asset Accumulation,in The Economics of Asset Accumulation,,false
acemoglu_daron_01,Daron Acemoglu,D. Acemoglu|Daron Acemoglu|Daron Acemoğlu,mit_acemoglu_daron,true
acemoglu_withdaron_02,with Daron Acemoglu,with Daron Acemoglu,,false
acevedogarcia_dolores_01,Dolores Acevedo-Garcia,Dolores Acevedo-Garcia,,false
ackerberg_daniel_01,Daniel Ackerberg,Daniel Ackerberg,,false
activity_brookingspapersoneconomic_01,Brookings Papers on Economic Activity,Brookings Papers on Economic Activity,,false
acuc_dc_01,DC: ACUC.,DC: ACUC.,,false
adam_emma_01,Emma Adam,Emma Adam,,false
adam_stuart_02,Stuart Adam,Stuart Adam,,false
adam_withhammaad_03,with Hammaad Adam,with Hammaad Adam,,false
adams_alyce_01,Alyce Adams,Alyce Adams,,false
adams_pauld_02,Paul D. Adams,Paul Adams|Paul D. Adams,,false
adao_rodrigo_01,Rodrigo Adão,R. Adao|Rodrigo Adão,,false
adhvaryu_ach_01,Ach Adhvaryu,Ach Adhvaryu,,false
afendulis_p468475withchristopher_01,p. 468-475 (with Christopher Afendulis,p. 468-475 (with Christopher Afendulis,,false
affairs_health_01,Health Affairs,Health Affairs,,false
