Name,Position,Personal Website
Matthew Backus,Associate Professor,https://mbackus.github.io/
Nano Barahona,Assistant Professor,https://hbaraho.github.io/
Sydnee Caldwell,Assistant Professor,http://www.sydneecaldwell.com
Stefano DellaVigna,"Daniel E. Koshland, Sr. Distinguished Professor of Economics and Professor of Business Administration; Department Chair",https://sdellavi.com/
J.Bradford DeLong,Professor,http://delong.typepad.com
Federico Echenique,Professor,http://eml.berkeley.edu/~fechenique
Aaron Edlin,"Richard Jennings Endowed Chair, Professor of Economics, Professor of Law",http://works.bepress.com/aaron_edlin/
Barry Eichengreen,George C. Pardee & Helen N. Pardee Chair and Distinguished Professor of Economics and Political Science,http://eml.berkeley.edu/~eichengr/index.html
Haluk Ergin,Associate Professor,http://eml.berkeley.edu/~hie/
Benjamin Faber,Professor,https://www.ben-faber.com/
Frederico Finan,George Break and Helen Schnacke Break Distinguished Professor of Economics and Professor of Business Administration,https://berkeley-econ.github.io/ffinan-site/
Cecile Gaubert,Associate Professor,http://eml.berkeley.edu/~cecile.gaubert/
Lisa Goldberg,Professor of the Practice of Economics,http://cdar.berkeley.edu/people/lisa-r-goldberg/
Yuriy Gorodnichenko,Quantedge Presidential Professor of Economics,http://eml.berkeley.edu/~ygorodni/index.htm
Pierre-Olivier Gourinchas,"Professor of Economics, Department of Economics; S.K. and Angela Chan Professor of Global Management, Haas School of Business; Director, Clausen Center for International Business and Policy",https://sites.google.com/view/pgourinchas/home
Bryan S. Graham,Professor,http://eml.berkeley.edu/~bgraham
Ben Handel,Professor,http://benjaminhandel.com
Benjamin E. Hermalin,Thomas & Alison Schneider Distinguished Professor of Finance and Professor of Economics,http://faculty.haas.berkeley.edu/hermalin/index.html
Hilary Hoynes,"Professor of Public Policy and Economics, Haas Distinguished Chair in Economic Disparities",
Michael Jansson,Edward G. and Nancy S. Jordan Family Professor of Economics,http://emlab.berkeley.edu/~mjansson/index.html
Shachar Kariv,Benjamin N. Ward Professor of Economics,http://emlab.berkeley.edu/~kariv/
Supreet Kaur,Associate Professor,http://www.supreetkaur.com/
Patrick Kline,Pertti J.C. and Doris E. Lindfors Professor of Economics,http://eml.berkeley.edu/~pkline/index.htm
Jon Kolstad,Professor,http://faculty.haas.berkeley.edu/jkolstad/
Giacomo Lanzani,Assistant Professor,https://sites.google.com/view/giacomo-lanzani/home
Chen Lian,Assistant Professor,https://sites.google.com/view/chenlian/home
Ulrike Malmendier,Edward and Mollie Arnold Professor of Finance and Professor of Economics,http://eml.berkeley.edu/~ulrike/index.html
Edward Miguel,"Distinguished Professor of Economics, and Oxfam Professor in Environmental and Resource Economics",http://emiguel.econ.berkeley.edu/
Enrico Moretti,Michael Peevey and Donald Vial Professor of Economics; Professor of Business Administration,http://eml.berkeley.edu/~moretti/
Mathilde Munoz,Assistant Professor,https://sites.google.com/view/mathilde-munoz/about
Emi Nakamura,E. Morris Cox Professor of Economics,https://eminakamura.com/
Demian Pouzo,Professor,http://www.demianpouzo.com/
Gautam Rao,"Associate Professor, UC Berkeley Haas School of Business & Dept. of Economics",https://gautam-rao.com/
Andrés Rodríguez-Clare,Edward G. and Nancy S. Jordan Professor of Economics,http://eml.berkeley.edu/~arodeml
Jesse Rothstein,"Carmel P. Friesen Professor of Public Policy and Professor of Economics; Director, California Policy Lab",http://eml.berkeley.edu/~jrothst
Emmanuel Saez,"Chancellor's Professorship of Tax Policy and Public Finance, Director, The James M. and Cathleen D. Stone Center on Wealth and Income Inequality",http://emlab.berkeley.edu/~saez/index.html
Andreas Schaab,Assistant Professor,https://andreasschaab.com/
Benjamin Schoefer,Associate Professor,https://eml.berkeley.edu/~schoefer/
Vira Semenova,Assistant Professor,https://sites.google.com/view/semenovavira
Chris Shannon,"Richard and Lisa Steiny Professor of Economics, Professor of Mathematics",http://eml.berkeley.edu/~cshannon/index.html
Joseph Shapiro,Associate Professor,http://joseph-s-shapiro.com
David Sraer,James J. and Marianne B. Lowrey Professor of Business & Professor of Economics,https://www.davidsraer.com
Carolyn Stein,Assistant Professor,https://carolynstein.github.io/
Jón Steinsson,Marek Professor of Public Policy and Economics,https://jonsteinsson.com/
Dmitry Taubinsky,Associate Professor,
Wilbur Townsend,Assistant Professor,https://wilburtownsend.github.io/
Quitzé Valenzuela-Stookey,Assistant Professor,http://quitzevalenzuelastookey.com/
Reed Walker,Transamerica Associate Professor of Business Strategy & Associate Professor of Economics,https://w-reed-walker.com/
Christopher Walters,Professor,http://eml.berkeley.edu/~crwalters/
Chenzi Xu,Assistant Professor of Economics,https://chenzi-xu.com
Danny Yagan,Robert D. Burch Associate Professor of Economics,http://dannyyagan.com/
Gabriel Zucman,Summer Research Professor and Summer School Director of the Stone Center on Wealth and Income Inequality,http://gabriel-zucman.eu
Shifrah Aron-Dine,Assistant Professor of Agricultural and Resource Economics,https://www.shifraharondine.com/
Kirill Borusyak,"Edwin C. Voorhees Endowed Assistant Professor, Agricultural and Resource Economics",https://sites.google.com/view/borusyak
