Name,Position,Personal Website
Anna Aizer,Maurice R. Greenberg Professor of Economics,https://sites.google.com/brown.edu/annaaizer/home
Jesse Bruhn,Assistant Professor of Economics and Education,http://www.jessebruhn.com/
Kenneth Chay,Professor of Economics,
Pedro Dal Bó,Professor of Economics,
Geoffroy de Clippel,"Professor of Economics, Director of Orlando Bravo Center for Economic Research",http://www.geoffroydeclippel.net/
Gauti Eggertsson,Dupee Family Professor of Economics,https://sites.google.com/site/gautieggertsson/home
Jack Fanning,Associate Professor of Economics,https://sites.google.com/a/brown.edu/jfanning/
Kellie Forrester,"Associate Teaching Professor of Economics, Vice Director of Graduate Studies",https://sites.google.com/brown.edu/kellie-forrester/home
Andrew Foster,George and Nancy Parker Professor of Economics,http://afosterri.org/
Rachel Friedberg,Teaching Professor of Economics,https://sites.google.com/brown.edu/rachel-friedberg/home
John Friedman,"Vascellaro Family Dean, The Thomas J. Watson School of International and Public Affairs, Briger Family Distinguished Professor of Economics and International and Public Affairs",https://sites.google.com/brown.edu/johnnfriedman/home
Alexandre Gaillard,Assistant Professor of Economics,https://www.a-gaillard.com/
Oded Galor,Herbert Goldberger Professor of Economics,http://www.odedgalor.com/
Brad Gibbs,"Urry and Comfort Associate Teaching Professor of Economics, Financial Services Industry Advisor, Vice Department Chair",
Amy Handlan,Yang Family Assistant Professor of Economics,https://sites.google.com/view/amy-handlan
Peter Hull,Professor of Economics,https://about.peterhull.net/
Sebnem Kalemli-Ozcan,"Schreiber Family Professor of Economics, Director of the Global Linkages Lab",https://www.sebnemkalemliozcan.com/
Toru Kitagawa,Professor of Economics,https://sites.google.com/brown.edu/torukitagawa
Brian Knight,"Professor of Economics, Director of Undergraduate Studies",https://sites.brown.edu/brianknight/
Sylvia Kuo,Teaching Professor of Economics,
Ivan Kwok,Assistant Teaching Professor of Economics,https://sites.google.com/view/ivancpkwok/
Soonwoo Kwon,Groos Family Assistant Professor of Economics,https://soonwookwon.github.io/
Spencer Kwon,Michael Wu Assistant Professor of Economics,https://www.spencerkwon.me/
Rafael La Porta,"Robert and Nancy Carney Professor of Economics, Faculty Director of the J. Nelson Center for Entrepreneurship",
Lorenzo Lagos,Shoukang Lin and Jing Wu Assistant Professor of Economics,https://sites.google.com/view/lorenzolagos/home
Elisa Macchi,August Family Assistant Professor of Economics,https://www.emacchi.com/
Teddy Mekonnen,Orlando Bravo Assistant Professor of Economics,https://sites.google.com/view/teddymekonnen
Stelios Michalopoulos,Eastman Professor of Political Economy,https://sites.google.com/site/steliosecon/
Andriy Norets,Professor of Economics,https://anorets.github.io
Emily Oster,JJE Goldman Sachs University Professor of Economics,
Bobby Pakzad-Hurson,Jonathan M. Nelson Assistant Professor of Economics and Entrepreneurship,https://sites.google.com/a/brown.edu/bph/
Christina Paxson,"President of Brown University, Professor of Economics and Public Policy",https://www.brown.edu/about/administration/president/christina-paxson
Matthew Pecenco,Orlando Bravo Assistant Professor of Economics,https://www.matthewpecenco.com/
Alex Poterack,"Steven Rattner Associate Teaching Professor of Economics, Vice Director of Undergraduate Studies",http://poterack.weebly.com/
Louis Putterman,Professor of Economics (Research),https://sites.google.com/brown.edu/louis-putterman
Jonathan Roth,Associate Professor,https://jonathandroth.github.io/
Kareen Rozen,"Professor of Economics, Economics Department Chair",https://sites.google.com/brown.edu/kareenrozen
Susanne Schennach,"Professor of Economics , Transfer Credit Advisor",https://sites.google.com/a/brown.edu/smschenn/
Roberto Serrano,Harrison S. Kravis University Professor of Economics,https://sites.google.com/brown.edu/robertoserrano/home
Bryce Steinberg,IJC Assistant Professor of Economics and International and Public Affairs,https://sites.google.com/a/brown.edu/bmsteinberg/home
Neil Thakral,Nancy Donohue and Diane Elam Assistant Professor of Economics,https://neilthakral.github.io/
Matthew Turner,Professor of Economics,https://matthewturner.org/
Felipe Valencia Caicedo,Dean’s Assistant Professor of Economics and Political Economy,https://sites.google.com/site/felipev84/Home?authuser=0
Rajiv Vohra,Ford Foundation Professor of Economics,https://sites.google.com/brown.edu/rajiv-vohra
David Weil,"James and Merryl Tisch Professor of Economics, Director of Graduate Studies, Placement Director",https://sites.brown.edu/davidweil/
