Name,Position,Personal Website
Ufuk Akcigit,The Arnold C. Harberger Professor in Economics and the College,https://www.ufukakcigit.com/
Fernando Alvarez,The Charles F. Gray Distinguished Service Professor in Economics and the College,
Stéphane Bonhomme,The Ann L. and Lawrence B. Buttenwieser Professor in Economics and the College,https://sites.google.com/site/stephanebonhommeresearch/
Benjamin Brooks,"Professor in Economics and the College; Director, Graduate Studies",https://www.benjaminbrooks.net
Christina Brown,Assistant Professor in Economics and the College,https://sites.google.com/site/christinabrownecon/
Leonardo Bursztyn,The Saieh Family Professor in Economics and the College,
Juanma Castro-Vincenzi,Assistant Professor in Economics and the College,https://www.castrovincenzi.com
Manasi Deshpande,"Associate Professor in Economics and the College; Co-Director, Graduate Placement",https://sites.google.com/view/mdeshpande
David Galenson,Professor in Economics and the College,
Mikhail Golosov,The Homer J. Livingston Professor in Economics and the College,
Michael Greenstone,"The Milton Friedman Distinguished Service Professor in Economics, the College, and the Harris School; Director of the Energy Policy Institute at Chicago; Director of The Institute for Climate and Sustainable Growth",
Lars Peter Hansen,"The David Rockefeller Distinguished Service Professor in Economics, Statistics and the Booth School of Business; Director of Macro Finance Research Program (MFR)",http://www.larspeterhansen.org/
Arnold C. Harberger,The Gustavus F. and Ann M. Swift Distinguished Service Professor Emeritus in Economics and the College (at Chicago since 1953),
James J. Heckman,The Henry Schultz Distinguished Service Professor in Economics and the College; Director of Center for the Economics of Human Development,
Ali Hortaçsu,William B. Ogden Distinguished Service Professor in Economics and the College,
Greg Kaplan,Alvin H. Baum Professor in Economics and the College,http://gregkaplan.me/
Anne Karing,The Neubauer Family Assistant Professor in Economics and the College,https://sites.google.com/view/annekaring/home
Michael Kremer,"University Professor in Economics and the College and the Harris School of Public Policy; Director of the Development Innovation Lab; Faculty Director, Development Economics Center at the University of Chicago",
Thibaut Lamadon,Associate Professor in Economics and the College,http://www.lamadon.com/
Steve Levitt,William B. Ogden Distinguished Service Professor Emeritus,
John List,The Kenneth C. Griffin Distinguished Service Professor in Economics and the College; Director of the Becker Friedman Institute,
Magne Mogstad,The Gary S. Becker Distinguished Service Professor in Economics and the College,https://sites.google.com/site/magnemogstad/
Casey Mulligan,Professor in Economics and the College; Director of Initiative on Enabling Choice and Competition in Healthcare,https://caseybmulligan.com/
Kevin M. Murphy,The George J. Stigler Distinguished Service Professor of Economics Emeritus (at Chicago since 1984),
Roger B. Myerson,The David L. Pearson Distinguished Service Professor in Economics and the College,
Derek A. Neal,The William C. Norby Professor in Economics and the College,
Mikkel Plagborg-Møller,Professor in Economics and the College,https://www.mikkelpm.com
Kirill Ponomarev,Assistant Professor in Economics and the College,https://kirillponomarev.com/
Philip J. Reny,The Hugo F. Sonnenschein Distinguished Service Professor in Economics and the College,https://sites.google.com/site/philipjreny/homepage
Eric Richert,Assistant Professor in Economics and the College,https://sites.google.com/view/eric-richert/home
Joseph Root,Assistant Professor in Economics and the College,https://sites.google.com/view/josephroot/home
Evan Rose,"Associate Professor in Economics and the College ; Co-Director, Graduate Placement",https://ekrose.github.io/
Esteban Rossi-Hansberg,The Glen A. Lloyd Distinguished Service Professor in Economics and the College,
Azeem Shaikh,Department Chair; Ralph and Mary Otis Isham Professor in Economics and the College,
Robert Shimer,George J. Stigler Distinguished Service Professor in Economics and the College,https://sites.google.com/site/robertshimer/
Nancy L. Stokey,The Frederick Henry Prince Distinguished Service Professor in Economics and the College,
Alexander Torgovitsky,"Professor in Economics and the College; Director, Graduate Admissions",https://a-torgovitsky.github.io/
Harald Uhlig,The Bruce Allen and Barbara Ritzenthaler Professor in Economics and the College,
Christopher Walters,Daniel Gressel Professor of Economics in the Wallman Society of Fellows,https://sites.google.com/view/christopher-walters
