Name,Position,Personal Website
Hassan Afrouzi,Associate Professor,http://afrouzi.com/
Douglas Almond,Professor of Economics and International and Public Affairs,http://users.nber.org/~almond/
Jushan Bai,Professor,http://www.columbia.edu/~jb3064/
Michael Best,Assistant Professor,http://www.columbia.edu/~mcb2270
Jagdish N. Bhagwati,University Professor,http://www.columbia.edu/~jb38/
Alessandra Casella,Professor of Economics and Political Science,https://blogs.cuit.columbia.edu/ac186/
Haoge Chang,Assistant Professor of Economics,https://sites.google.com/view/haogechang/cv
Yeon-Koo Che,Kelvin J. Lancaster Professor of Economic Theory,http://www.yeonkooche.com
Pierre-André Chiappori,E. Rowan and Barbara Steinschneider Professor of Economics,
Graciela Chichilnisky,Professor,http://www.chichilnisky.com/
Richard Clarida,C. Lowell Harriss Professor of Economics and Professor of International and Public Affairs,https://sites.google.com/site/claridacolumbiasite/home?authuser=1
Donald Davis,Ragnar Nurkse Professor of Economics,https://sites.google.com/site/drdavis001/
Mark Dean,Professor and Co-Chair of PhD Placement Committee,http://www.columbia.edu/~md3405/
Jonathan Dingel,Associate Professor of Economics,http://www.jdingel.com/
Prajit K. Dutta,Professor,https://www.prajitdutta.com/
Lena Edlund,Associate Professor,http://www.columbia.edu/~le93/
Matthieu Gomez,Assistant Professor,http://www.matthieugomez.com/
Émilien Gouin-Bonenfant,Assistant Professor,https://sites.google.com/view/emilien/home
Gautam Gowrisankaran,Professor,https://www.gautamgowrisankaran.com/home
Lisa Ho,Assistant Professor of Economics,https://lisayzho.github.io
Harrison Hong,"John R. Eckel, Jr. Professor of Financial Economics, Vice Chair for Finance, & PER Director",http://www.columbia.edu/~hh2679/
Wojciech Kopczuk,Professor of Economics and International and Public Affairs,http://www.columbia.edu/~wk2110/
Jennifer La’O,Associate Professor,https://www.jennifer-la-o.com/
Sokbae (Simon) Lee,Professor and Vice Chair for Curriculum & Reviews,https://sites.google.com/site/sokbae/home
Hugo Lhuillier,Assistant Professor of Economics,https://www.hugolhuillier.com/
Qingmin Liu,Professor,https://sites.google.com/site/qingmin/
Tatiana Mocanu,Assistant Professor,https://www.tatianamocanu.com/
Suresh Naidu,Professor of International and Public Affairs and Jack Wang and Echo Ren Professor of Economics,http://www.santafe.edu/~snaidu
Serena Ng,Edwin W. Rickert Professor of Economics,http://www.columbia.edu/~sn2294/
Brendan O’Flaherty,Professor,https://blogs.cuit.columbia.edu/bo2/
Sebastian Otero,Assistant Professor,https://sebotero.github.io/
Noémie Pinardon-Touati,Assistant Professor,https://npinardontouati.github.io/
Andrea Prat,Richard Paul Richman Professor of Business and Professor of Economics,http://www.columbia.edu/~ap3116/
Jeffrey Sachs,University Professor,http://jeffsachs.org/
Xavier Sala-i-Martin,Jerome H. and Matthew S. Grossman Professor of Development Economics,http://www.salaimartin.com/
Bernard Salanié,Sami Mnaymneh Professor of Economics and Chair of the Economics Department,https://bsalanie.github.io/
José Scheinkman,Charles and Lynn Zhang Professor of Economics,https://jascheinkman.com/
Stephanie Schmitt-Grohé,Professor and Director of Graduate Studies,https://www.columbia.edu/~ss3501/
Joseph E. Stiglitz,University Professor,https://www8.gsb.columbia.edu/faculty/jstiglitz/
Pietro Tebaldi,Assistant Professor,http://www.pietrotebaldi.com/
Martin Uribe,Robert A. Mundell Professor of Economics and Co-Chair of the PhD Placement Committee,https://www.columbia.edu/~mu2166/
Miguel Urquiola,Professor of Economics and International and Public Affairs,http://blogs.cuit.columbia.edu/msu2101
Eric Verhoogen,Professor of Economics and International and Public Affairs,http://www.columbia.edu/~ev2124/
Ebonya Washington,Laurans A. and Arlene Mendelson Professor of Economics,https://ebonyawashington.com/
David Weinstein,Carl S. Shoup Professor of Japanese Economy,https://www.davideweinstein.com/
Jack Willis,Assistant Professor,https://sites.google.com/view/jwillis/
Michael Woodford,John Bates Clark Professor of Political Economy,http://www.columbia.edu/~mw2230/
