Name,Position,Personal Website
Treb Allen,Michael G. Fisch 1983 Distinguished Professor of Economics,https://sites.google.com/site/treballen/
Patricia M. Anderson,Professor of Economics,https://sites.dartmouth.edu/pmanderson/
David Graham Blanchflower,Professor of Economics Bruce V. Rauner 1978 Professorship,http://sites.dartmouth.edu/blanchflower
Elizabeth U. Cascio,Professor of Economics DeWalt H. 1921 and Marie H. Ankeny Professorship in Economic Policy,http://sites.dartmouth.edu/eucascio
Diego Comin,Professor of Economics,http://dcomin.host.dartmouth.edu/
Eric V. Edmonds,Professor of Economics,https://sites.dartmouth.edu/eedmonds/
Daniel K. Fetter,Associate Professor of Economics,https://sites.google.com/view/daniel-fetter
James Feyrer,"Chair, Department of Economics Professor of Economics",
Matthew W. Grant,Assistant Professor of Economics,https://sites.google.com/site/matthewwgrant/
Apoorv Gupta,Assistant Professor of Economics,http://www.apoorv-gupta.com
Douglas A. Irwin,Co-Director of Political Economy Project John French Professor in Economics,https://sites.dartmouth.edu/dirwin/
Meir Gregory Kohn,Professor of Economics,https://sites.dartmouth.edu/mkohn/
Andrew Levin,Professor of Economics,https://sites.dartmouth.edu/alevin/
Ethan Gatewood Lewis,Professor of Economics,http://ethang.host.dartmouth.edu/index.html
Erzo F.P. Luttmer,The Dartmouth Professor in Economics,http://www.nber.org/~luttmer
Madeline McKelway,Assistant Professor of Economics,https://www.madelinemckelway.com/
Steven M. Mello,Assistant Professor of Economics,https://mello.github.io/
Paul Novosad,Associate Professor of Economics,http://www.paulnovosad.com
Claudia Olivetti,George J. Records 1956 Professor of Economics,https://sites.dartmouth.edu/olivetti/
Nina Pavcnik,Interim Dean of Arts and Sciences Niehaus Family Professor in International Studies,https://sites.dartmouth.edu/npavcnik/
Diego Ramos-Toro,Assistant Professor of Economics,https://www.diegoramostoro.com/
Bruce I. Sacerdote,Richard S. Braddock 1963 Professor in Economics,http://sites.dartmouth.edu/brucesacerdote
Andrew A. Samwick,Sandra L. and Arthur L. Irving '72a P'10 Professor of Economics,https://sites.dartmouth.edu/asamwick
Jonathan Skinner,"Research Professor, Department of Economics Professor, Geisel School of Medicine",https://jonskinner.org/
Christopher Snyder,Joel Z. and Susan Hyatt Professor of Economics,https://sites.dartmouth.edu/csnyder/
Douglas O. Staiger,John Sloan Dickey Third Century Professor in the Social Sciences,http://sites.dartmouth.edu/dstaiger/
Robert W. Staiger,Loren M. Berry Professorship in Economics Professor of Economics,http://www.dartmouth.edu/~rstaiger/
Meredith Startz,Assistant Professor of Economics,https://sites.google.com/site/meredithstartz/
Heidi L. Williams,Professor of Economics Orvil E. Dryfoos Professor in Economics and Public Affairs,https://sites.google.com/view/heidi-l-williams/home
Angela J. Wyse,Assistant Professor,http://www.angelawyse.com
Jonathan Zinman,R. Stephen Cheheyl Professor of Economics,https://sites.dartmouth.edu/jzinman/
Eric W. Zitzewitz,Professor of Economics,
Nathan G. Zorzi,Assistant Professor of Economics,https://www.nathanzorzi.com
