Name,Position,Personal Website
Atila Abdulkadiroglu,Garonzik Family Distinguished Professor,http://people.duke.edu/~aa88/
Attila Ambrus,Professor of Economics,https://sites.duke.edu/attilaambrus/
Peter S. Arcidiacono,William Henry Glasson Distinguished Professor of Economics,http://public.econ.duke.edu/~psarcidi/
Bocar A Ba,Assistant Professor of Economics,
Jason Baron,Assistant Professor of Economics,https://sites.google.com/view/jasonbaron/home
Patrick Bayer,Gilhuly Family Distinguished Professor in Economics,https://sites.duke.edu/patrickbayer/
Charles Maxwell Becker,Research Professor of Economics,https://sites.duke.edu/charlesbecker/
David Berger,Professor of Economics,
Tim Bollerslev,"Juanita and Clifton Kreps Distinguished Professor of Economics, in Trinity College of Arts and Sciences",http://public.econ.duke.edu/~boller/
A. Craig Burnside,Mary Grace Wilson Distinguished Professor,http://people.duke.edu/~acb8/Burnside/Home.html
Anna Bykhovskaya,Assistant Professor of Economics,https://annabykhovskaya.com/
Bruce J. Caldwell,Research Professor of Economics,https://sites.duke.edu/brucecaldwell/
Laura Castillo Martinez,Assistant Professor of Economics,https://www.lcastillo-martinez.com/
Allan Collard-Wexler,Professor of Economics,https://sites.duke.edu/collardwexler/
Emily A Cuddy,Assistant Professor of Economics,
Michael F Dinerstein,Associate Professor of Economics,https://sites.google.com/site/michaeldinerstein/
Rafael Dix-Carneiro,Professor of Economics,https://sites.google.com/site/rafaeldixcarneiro/
Erica Field,James B. Duke Distinguished Professor of Economics,
Arkadev Ghosh,Assistant Professor of Economics,https://sites.google.com/view/arkadevghosh/home
Alessandra Lucia Gonzalez,Assistant Research Professor of Economics,https://www.alessandra-l-gonzalez.com/home
Yingni Guo,Associate Professor of Economics,
Kevin Douglas Hoover,Professor of Economics,http://public.econ.duke.edu/~kdh9/
Federico C Huneeus,Assistant Professor of Economics,http://www.fedehuneeus.com/
Cosmin L. Ilut,Professor of Economics,https://sites.google.com/site/cosminilut/
Gregor Jarosch,Professor of Economics,
Kyle Jurado,Associate Professor of Economics,http://public.econ.duke.edu/~kej26/
Matthias Kehrig,Associate Professor of Economics,https://sites.google.com/site/matthiaskehrig/research
Rachel Kranton,James B. Duke Distinguished Professor of Economics,https://sites.duke.edu/rachelkranton/
Timur Kuran,Gorter Family Distinguished Professor of Islamic Studies,https://sites.duke.edu/timurkuran/
Andrea Lanteri,Associate Professor of Economics,https://sites.google.com/site/andrealanteri/
Matthew A Masten,Associate Professor of Economics,https://mattmasten.github.io/
Arnaud Maurel,Professor of Economics,http://www.amaurel.net/Home
David McAdams,Professor of Business Administration,http://www.fuqua.duke.edu/faculty/david-mcadams
Marjorie B. McElroy,Professor of Economics,
Ellen E Meade,Research Professor of Economics,
Steven G. Medema,George Family Research Professor,https://sites.duke.edu/sgmedema/
Wendy A Morrison,Assistant Professor of Economics,http://wendyamorrison.com/
Thomas J. Nechyba,Professor of Economics,
Andrew J. Patton,Zelter Family Distinguished Professor,http://public.econ.duke.edu/~ap172/
Pietro F. Peretto,Professor of Economics,http://public.econ.duke.edu/~peretto/
Laura Pilossoph,"Kathleen Kaylor and G. Richard Wagoner, Jr. Assistant Professor of Economics",
Michael Pollmann,Assistant Professor of Economics,https://michaelpollmann.github.io/
James W. Roberts,Professor of Economics,https://sites.duke.edu/roberts/
Adam M Rosen,Professor of Economics,https://sites.google.com/site/amr331/
Philipp Sadowski,Associate Professor of Economics,http://people.duke.edu/~ps78/
Todd Sarver,Professor of Economics,https://sites.duke.edu/toddsarver/
Curtis R. Taylor,Professor of Economics,http://people.duke.edu/~crtaylor/
Duncan Thomas,Norb F. Schaefer Distinguished Professor of International Studies in Trinity College of Arts and Sciences,http://ipl.econ.duke.edu/dthomas/
Felix Tintelnot,Associate Professor of Economics,https://www.felix-tintelnot.com/
Christopher D Walker,Assistant Professor of Economics,
Pengpeng Xiao,Assistant Professor of Economics,https://www.pengpengxiao.com/
Daniel Yi Xu,David Rubenstein Distinguished Professor of Economics,http://www.danielyixu.com/
Huseyin Yildirim,Professor of Economics,
