Name,Position,Personal Website
Rüdiger Bachmann,Professor of Economics (On Leave Winter 26),https://sites.lsa.umich.edu/rudib/
Hoyt Bleakley,Professor of Economics,http://www-personal.umich.edu/~hoytb/
Tilman Börgers,Samuel Zell Professor of the Economics of Risk,https://public.websites.umich.edu/~tborgers/
Emilio Borghesan,Assistant Professor of Economics,https://www.emilioborghesan.com/
Zach Brown,Associate Professor of Economics (On Leave Fall 25 and Winter 26),http://www-personal.umich.edu/~zachb/
Kevin Carney,Assistant Professor of Economics,http://www.kevin-carney.com/
Luming Chen,Assistant Professor of Economics,https://www.lumingchen.com/
Javier Cravino,"Associate Professor of Economics, Associate Chair for Recruitment, and Director of Undergraduate Studies",https://sites.google.com/a/umich.edu/javiercravino/
Kathryn M. E. Dominguez,"Marina von Neumann Whitman Distinguished University Professor of Public Policy, Professor of Economics and Director of Undergraduate Honors",http://www-personal.umich.edu/~kathrynd/
Christine Exley,Associate Professor of Economics,https://sites.google.com/site/clexley
Ying Fan,Professor of Economics (On Leave Winter 26),http://www-personal.umich.edu/~yingfan/
Amanda Friedenberg,Professor of Economics,http://www.amandafriedenberg.org/
Sara Heller,Associate Professor of Economics,https://sites.google.com/view/sara-heller
James R. Hines Jr.,Richard A. Musgrave Collegiate Professor of Economics,https://www.law.umich.edu/FacultyBio/Pages/FacultyBio.aspx?FacID=jrhines
Christopher L. House,"Professor of Economics, Director of Graduate Studies, and Director of Doctoral Placement",http://www.umich.edu/~chouse/
Eva Janssens,Assistant Professor of Economics,https://sites.google.com/view/efjanssens/
Amanda Kowalski,Gail Wilensky Professor of Applied Economics and Public Policy,https://sites.lsa.umich.edu/amanda-kowalski/
Andrei A. Levchenko,John W. Sweetland Professor of International Economics,http://alevchenko.com/
David A. Miller,Associate Professor of Economics,https://incentivecompatible.net/
Mike Mueller-Smith,Associate Professor of Economics,http://sites.lsa.umich.edu/mgms/
Charles Murry,Associate Professor of Economics and Director of Masters Degree in Applied Economics (MAE) Program,https://charliemurry.github.io/
Minseon Park,Assistant Professor of Economics,https://sites.google.com/view/minseon-park/home
Doron Ravid,Associate Professor of Economics,https://sites.google.com/site/ravidd/
Ana Reynoso,Assistant Professor of Economics,https://sites.lsa.umich.edu/ana-reynoso/
Paul W. Rhode,William James Adams Collegiate Professor of Economics and Associate Chair for Administrative & Academic Affairs,
Emma Riley,Assistant Professor of Economics,https://emmaalriley.wordpress.com/
Matthew Schwartzman,Assistant Professor of Economics,https://www.matthewschwartzman.com/
Ben Scuderi,Assistant Professor of Economics,https://sites.google.com/site/scuderib
Matthew Shapiro,Lawrence R. Klein Collegiate Professor of Economics,http://www.umich.edu/~shapiro
Sebastian Sotelo,Associate Professor of Economics,http://www-personal.umich.edu/~ssotelo/index.html
Mel Stephens,Interim Chair of Economics and Professor of Economics,https://sites.lsa.umich.edu/mstep/
Dmitriy L. Stolyarov,Professor of Economics (On Leave Fall 25),http://sites.lsa.umich.edu/stolyar
Stephen Terry,Associate Professor of Economics,http://www-personal.umich.edu/~sjterry/
Linda Tesar,"Alan V. Deardorff Collegiate Professor of Economics | Budget Advisor, LSA Dean's Office",https://sites.lsa.umich.edu/ltesar/
Damian Vergara,Assistant Professor of Economics,https://www.damianvergara.com/
Jingyuan Wang,Assistant Professor of Economics,https://sites.google.com/view/wang-jingyuan/
Toni Whited,Frederick G.L. Huetwell Professor of Economics and Director of PhD Admissions,https://www.toniwhited.com/
Justin Wolfers,Professor of Economics,http://www.nber.org/~jwolfers/
Kaspar Wuthrich,Associate Professor of Economics,https://sites.google.com/site/wuethricheconomics/
Wei Xiang,Assistant Professor of Economics,https://sites.google.com/view/wei-xiang/
Dean Yang,Professor of Economics,http://www.umich.edu/~deanyang
Basit Zafar,Reuben Kempf Professor of Economics,https://sites.google.com/site/basitakzafar/
Mu Zhang,Assistant Professor of Economics (On Leave Fall 25 and Winter 26),https://muzhang.weebly.com/
