Name,Position,Personal Website
Abi Adams,Professor,https://abiadams.com/
George-Marios Angeletos,Stanley J. Gradowski Jr. Professor of Behavioral Macroeconomics,https://sites.northwestern.edu/angeletos/
Eric Auerbach,Assistant Professor,https://sites.google.com/site/ericjauerbach/
Lori Beaman,Professor,http://faculty.wcas.northwestern.edu/~lab823/
Vivek Bhattacharya,Associate Professor,https://sites.northwestern.edu/vivek/
Federico Bugni,Professor; Director of Graduate Studies,https://sites.northwestern.edu/federicobugni/
Ivan Canay,"Breen Family Professor of Economics; Director, Mathematical Methods in the Social Sciences Program",http://sites.northwestern.edu/iac879/
Lawrence Christiano,Alfred W. Chase Professor,http://faculty.wcas.northwestern.edu/~lchrist/
Eddie Dekel,"William R. Kenan, Jr. Professor",https://sites.google.com/site/eddiedekelsite/home
Piotr Dworczak,Associate Professor,https://sites.northwestern.edu/dworczak/
Martin Eichenbaum,Charles Moskos Professor,http://faculty.wcas.northwestern.edu/~yona/
Jeffrey Ely,Charles E. and Emma Morrison Professor; Department Chair,http://jeffely.com/
Joseph Ferrie,Professor,http://faculty.wcas.northwestern.edu/~fe2r/
Benjamin Golub,Professor,http://bengolub.net/
W. Walker Hanlon,Gerald F. and Marjorie G. Fitzgerald Associate Professor of Economics,http://walkerhanlon.com/
Igal Hendel,Ida C. Cook Professor,http://sites.northwestern.edu/ieh758/
Joel Horowitz,Charles E. and Emma H. Morrison Professor,http://sites.northwestern.edu/jlh951/
Gaston Illanes,Assistant Professor,http://sites.northwestern.edu/gil208/
Kirabo Jackson,"Professor of Economics, Abraham Harris Professor of Education and Social Policy",
Elisa Jácome,Assistant Professor,https://sites.google.com/view/elisajacome/
Diego Känzig,Assistant Professor,https://www.diegokaenzig.com/home
Dean Karlan,"Frederic Esser Nemmers Chair in Economics and Finance, KSM",https://www.kellogg.northwestern.edu/academics-research/faculty/karlan_dean/
Annie Liang,Associate Professor,https://www.anniehliang.com/
Charles Manski,Board of Trustees Professor,https://faculty.wcas.northwestern.edu/~cfm754/
Kiminori Matsuyama,Professor,http://faculty.wcas.northwestern.edu/~kmatsu/
Joel Mokyr,Robert H. Strotz Professor,https://sites.northwestern.edu/jmokyr/
Wojciech Olszewski,Professor,https://sites.northwestern.edu/wol737/home/
Alessandro Pavan,HSBC Research Professor,http://faculty.wcas.northwestern.edu/~apa522/
Harry Pei,Assistant Professor,https://sites.northwestern.edu/harrypei/
Robert Porter,"William R. Kenan, Jr. Professor",http://sites.northwestern.edu/rhp516/
Giorgio Primiceri,Professor,http://faculty.wcas.northwestern.edu/~gep575/
Mar Reguant,Professor,https://mreguant.github.io
William Rogerson,"Charles E. and Emma H. Morrison Professor; Director, Business Institutions Program",http://faculty.wcas.northwestern.edu/~wpr603/
Matthew Rognlie,Associate Professor; AT&T Research Fellow,https://sites.northwestern.edu/rognlie/
Kunal Sangani,Assistant Professor,https://kunalsangani.com/
Molly Schnell,Assistant Professor,http://mollyschnell.com/
Garima Sharma,Assistant Professor,https://garimasharma.com
Marciano Siniscalchi,Professor,http://faculty.wcas.northwestern.edu/~msi661/
Bruno Strulovici,Harvey Kapnick Professor of Business Institutions,http://faculty.wcas.northwestern.edu/~bhs675/
Christopher Udry,Robert E. and Emily King Professor,http://sites.northwestern.edu/christopherudry/
Silvia Vannutelli,Assistant Professor,https://sites.google.com/view/silviavannutelli/home?authuser=0
Asher Wolinsky,Gordon Fulcher Professor,https://sites.northwestern.edu/wolinsky/
