Name,Position,Personal Website
Karun Adusumilli,Assistant Professor of Economics,https://sites.google.com/site/adusumik/
Francesco Agostinelli,Janice and Julian Bers Assistant Professor in the Social Sciences,http://www.francesco-agostinelli.com
Juan Pablo Atal,Assistant Professor,https://sites.google.com/site/juanpabloatal/
Jere R. Behrman,"William R. Kenan, Jr. Professor of Economics",
Aislinn Bohren,Associate Professor of Economics,http://www.aislinnbohren.com
Juan Camilo Castillo,Assistant Professor of Economics - (Leave Academic Year 2025-2026),https://www.jc-castillo.net/
Xu Cheng,Professor of Economics,http://web.sas.upenn.edu/xucheng/
Harold L. Cole,James Joo-Jin Kim Professor of Economics,https://sites.google.com/site/haroldlinhcole/
Francis X. Diebold,Paul F. and Warren S. Miller Professor of Economics; Professor of Finance; Professor of Statistics and Data Science,http://www.ssc.upenn.edu/~fdiebold
David Dillenberger,Professor of Economics,http://web.sas.upenn.edu/ddill/
Alessandro Dovis,Associate Professor of Economics,http://www.alessandrodovis.com/
Hanming Fang,"Norman C. Grosman Professor of Economics, (LEAVE ACADEMIC YEAR 2025-2026)",https://web.sas.upenn.edu/hfang/
Jesús Fernández-Villaverde,Howard Marks Presidential Professor of Economics,http://www.sas.upenn.edu/~jesusfv
Wayne Yuan Gao,"Assistant Professor of Economics, (LEAVE FAll 2025)",https://www.waynegao.com
Shresth Garg,Assistant Professor of Economics,
Jeremy Greenwood,Professor of Economics (LEAVE ACADEMIC YEAR 2025-2026),http://www.jeremygreenwood.net
Kevin He,Assistant Professor of Economics,https://kevinhe.net/
Joachim Hubmer,"Assistant Professor of Economics, (LEAVE Fall 2025)",https://joachimhubmer.github.io
Dirk Krueger,Walter H. and Leonore C. Annenberg Professor in the Social Sciences and Professor of Economics; Professor of Finance (LEAVE ACADEMIC YEAR 2025-2026),http://web.sas.upenn.edu/dkrueger/
Xiao Lin,Assistant Professor of Economics,https://sites.google.com/view/xiaolin-econ/main
Michael Lipsitz,Associate Professor of Practice of Economics,https://sites.google.com/site/malipsitz
Jin Liu,Assistant Professor of Economics,https://sites.google.com/view/jinliusite/
Margaux Luflade,Assistant Professor of Economics,https://sites.google.com/site/margauxluflade/
George J. Mailath,"Professor of Economics, Walter H. Annenberg Professor in the Social Sciences",https://web.sas.upenn.edu/gmailath/
Iourii Manovskii,Professor of Economics (LEAVE ACADEMIC YEAR 2025-2026),http://www.sas.upenn.edu/~manovski/
Enrique G. Mendoza,William P. Carey Professor of Economics,http://www.sas.upenn.edu/~egme/
Aviv Nevo,George A. Weiss and Lydia Bravo Weiss University Professor,
Lukas Nord,Assistant Professor,https://economics.sas.upenn.edu/people/lukas-nord
Guillermo Ordoñez,Joseph M. Cohen Term Professor of Economics; Professor of Finance,https://web.sas.upenn.edu/ordonez/
Andrew Postlewaite,"Harry P. Kamen Professor of Economics; Professor of Finance, (LEAVE SPRING 2026)",https://www.sas.upenn.edu/~apostlew/
José-Víctor Ríos-Rull,Lawrence R. Klein Professor of Economics; DIRECTOR OF PENN INSTITUTE FOR ECONOMIC RESEARCH,http://www.sas.upenn.edu/~vr0j/
Frank Schorfheide,Christopher H. Browne Distinguished Professor of Economics (LEAVE ACADEMIC YEAR 2025-2026),http://sites.sas.upenn.edu/schorf/
Holger Sieg,Baird Term Professor of Economics,http://www.sas.upenn.edu/~holgers/
Petra Todd,Christopher H. Browne Distinguished Professsor of Economics,http://athena.sas.upenn.edu/~petra
Rakesh Vohra,George A. Weiss and Lydia Bravo Weiss University Professor,https://sites.google.com/site/quaerereverum9/
