Name,Position,Personal Website
Alicia Adsera,"Senior Research Scholar, Lecturer in Economics and International Affairs",https://scholar.princeton.edu/adsera
Mark A. Aguiar,Walker Professor of Economics and International Finance,https://www.markaguiar.com/
Yacine Ait-Sahalia,Otto A. Hack '03 Professor of Finance,http://www.princeton.edu/~yacine/
Caio Almeida,Senior Lecturer of Economics,https://sites.google.com/view/caio-almeida
John Sturm Becko,Assistant Professor of Economics,https://sites.google.com/view/johnsturm/john-sturm
Roland Benabou,Theodore A. Wells '29 Professor of Economics and Public Affairs,https://scholar.princeton.edu/rbenabou
Swati Bhatt,Lecturer of Economics,https://bhatt.scholar.princeton.edu
Zachary Bleemer,Assistant Professor of Economics,https://zacharybleemer.com
Alan S. Blinder,Gordon S. Rentschler Memorial Professor of Economics and Public Affairs,http://www.princeton.edu/~blinder/index.htm
Markus Brunnermeier,Edwards S. Sanford Professor of Economics,https://scholar.princeton.edu/markus/
Smita Brunnermeier,Senior Lecturer of Economics; Executive Director of Undergraduate Studies,
Nicholas Buchholz,Assistant Professor of Economics,https://scholar.princeton.edu/nbuchholz/home
Pauline Carry,Assistant Professor of Economics,https://www.paulinecarry.com
Matias Cattaneo,Professor of Operations Research and Financial Engineering,https://cattaneo.princeton.edu/
Sylvain Chassang,Professor of Economics,https://www.sylvainchassang.org/
Daniel Chen,Assistant Professor of Economics,https://danieltchen.com
Natalie Cox,Assistant Professor of Economics,https://natmcox.weebly.com/
Kevin Dano,Assistant Professor of Economics,https://kevindano.github.io
Ellora Derenoncourt,Assistant Professor of Economics,https://sites.google.com/view/ellora-derenoncourt/home
Pascaline Dupas,Joseph Douglas Green 1895 Professor of Economics and Public Affairs,https://sites.google.com/view/pascaline-dupas/home
Jianqing Fan,Frederick L. Moore '18 Professor of Finance,https://orfe.princeton.edu/~jqfan/
Mira Frick,Professor of Economics,https://sites.google.com/site/mirafrickecon/home
Thomas Fujiwara,Associate Professor of Economics,http://www.princeton.edu/~fujiwara/
John R. Grigsby,Assistant Professor of Economics and Public Affairs,https://sites.google.com/view/john-grigsby/
Gene M. Grossman,Jacob Viner Professor of International Economics,http://www.princeton.edu/~grossman/
Faruk R. Gul,Susan Dod Brown Professor of Economics,http://www.princeton.edu/~fgul/
Bo E. Honoré,Class of 1913 Professor of Political Economy,https://scholar.princeton.edu/honore
Ryota Iijima,Professor of Economics,https://sites.google.com/site/ryotaiijimaecon/home
Magnus Irie,Assistant Professor of Economics,https://www.magnusirie.com/
Seema Jayachandran,Kenneth J. Boudreaux '65 Professor of Economics and Public Affairs,https://seemajayachandran.com
Simon Jäger,Associate Professor of Economics and Public Affairs,https://jaeger.scholar.princeton.edu/
Adam Kapor,Associate Professor of Economics and Public Affairs,https://sites.google.com/site/adamkapor/
Jakub Kastl,Professor of Economics,http://www.princeton.edu/~jkastl/
Nobuhiro Kiyotaki,Harold H. Helm '20 Professor of Economics and Banking,http://www.princeton.edu/~kiyotaki/
