Name,Position,Personal Website
Ran Abramitzky,Senior Associate Dean of the Social Sciences Stanford Federal Credit Union Professor of Economics,
Marcella Alsan,"Annie and Ned Lamont Professor of International Studies Thomas J. Davis, Jr. Faculty Scholar at SIEPR",https://www.healthinequalitylab.org/
Lukas Althoff,Assistant Professor of Economics,
Adrien Auclert,Associate Professor of Economics,
Kyle Bagwell,Donald L. Lucas Professor in Economics,http://web.stanford.edu/~kbagwell/
B. Douglas Bernheim,Edward Ames Edmonds Professor of Economics,https://bernheim.people.stanford.edu/
Adrien Bilal,Assistant Professor of Economics,https://sites.google.com/site/adrienbilal/
Nicholas Bloom,William D. Eberle Professor in Economics,http://web.stanford.edu/~nbloom/
Luigi Bocola,Associate Professor of Economics,https://lbocola.github.io/
Michael J. Boskin,T.M. Friedman Professor of Economics,https://profiles.stanford.edu/michael-boskin
Arun G. Chandrasekhar,Professor of Economics,https://web.stanford.edu/~arungc/
Jiafeng Chen,Assistant Professor of Economics,https://jiafengkevinchen.github.io/
Roberto Corrao,Assistant Professor of Economics,https://sites.google.com/view/roberto-corrao
Jose Ignacio Cuesta,Assistant Professor of Economics,https://sites.google.com/site/ignaciocuesta/
Mark Duggan,Wayne and Jodi Cooperman Professor of Economics,https://people.stanford.edu/mgduggan/
Liran Einav,Department Chair Charles R. Schwab Professor in Economics,https://leinav.people.stanford.edu/
Matthew Gentzkow,Landau Professor in Technology and the Economy,https://www.matthewgentzkow.com/
Han Hong,Professor of Economics,https://profiles.stanford.edu/han-hong
Caroline Hoxby,Scott and Donya Bommer Professor in Economics,http://web.stanford.edu/~choxby/
Allan Hsiao,Assistant Professor of Economics,https://allanhsiao.com/
Guido W Imbens,"Applied Econometrics Professor, Graduate School of Business Professor of Economics, School of Humanities & Sciences Senior Fellow, Stanford Institute for Economic Policy Research",https://people.stanford.edu/imbens/
Matthew O. Jackson,William D. Eberle Professor of Economics,http://web.stanford.edu/~jacksonm/
Ravi Jagadeesan,Assistant Professor of Economics,https://www.sites.google.com/site/ravijagadeesan/
Patrick Kehoe,Professor of Economics,https://pkehoepeople.sites.stanford.edu/
Benny Kleinman,Assistant Professor of Economics,https://www.bennykleinman.com/
Pete Klenow,Landau Professor in Economics Policy Gordon Moore Senior Fellow at SIEPR,http://www.klenow.com/
Jonathan Levin,President Bing Presidential Professor,http://president.stanford.edu/
Thomas E. MaCurdy,"Professor of Economics Senior Fellow, Hoover Institution",
Neale Mahoney,Trione Director of SIEPR TG Wijaya Professor of Economics George P. Shultz Fellow at SIEPR,https://nmahoney.people.stanford.edu/
Paul Milgrom,"Shirley R. and Leonard W. Ely, Jr. Professor in Humanities and Sciences",https://milgrom.people.stanford.edu/
Melanie Morten,Associate Professor of Economics Trione Faculty Scholar,https://web.stanford.edu/~memorten/Melanie_Morten.html
Muriel Niederle,Pauline K. Levin-Robert L. Levin and Pauline C. Levin-Abraham Levin Professor in the School of Humanities and Sciences,http://web.stanford.edu/~niederle/
Petra Persson,Associate Professor of Economics,http://web.stanford.edu/~perssonp/
Monika Piazzesi,Joan Kenney Professor of Economics,http://web.stanford.edu/~piazzesi/
Luigi Pistaferri,Ray Lyman Wilbur Professor of Economics Ralph Landau Senior Fellow at SIEPR,https://sites.google.com/view/pistaferri
Stephen Redding,Kleinheinz Family Professor of International Studies Professor of Economics,https://stephenredding.github.io/index.html
Alvin Roth,Craig and Susan McCaw Professor of Economics,http://web.stanford.edu/~alroth/
Martin Schneider,Mary and Robert Raymond Professor of Economics,http://web.stanford.edu/~schneidr/
Ilya Segal,Roy and Betty Anderson Professor in the Humanities and Sciences,http://web.stanford.edu/~isegal/
Isaac Sorkin,Associate Professor of Economics,https://sites.google.com/site/isaacsorkin/home
Alessandra Voena,Holbrook Working Professor of Price Theory,https://avoena.people.stanford.edu/
Frank Wolak,Holbrook Working Professor of Commodity Price Studies,http://www.stanford.edu/~wolak/
