Name,Position,Personal Website
John Asker,Armen Alchian Professor of Economics,http://www.johnasker.com
Andrew Atkeson,Stanley M. Zimmerman Professor of Economics and Finance,https://sites.google.com/site/andyatkeson/
Martha Bailey,Professor,https://sites.google.com/g.ucla.edu/marthajbailey
David Baqaee,Professor,https://sites.google.com/site/davidbaqaee/
Natalie Bau,Professor,https://sites.google.com/site/nataliebau/
Saki Bigio,Associate Professor,https://saki-bigio.squarespace.com
Alexander Bloedel,Assistant Professor,https://sites.google.com/site/alexanderbloedel/home
Simon Board,Benjamin Graham Centennial Chair in Value Investing,http://www.econ.ucla.edu/sboard/
Ariel Burstein,Professor,https://arielb.scholar.ss.ucla.edu/
Denis Chetverikov,Charles E. Davidson Chair in Economics,https://denischetverikov.wordpress.com/
Daniel Clark,Assistant Professor,https://sites.google.com/view/danielclark
Dora Costa,Kenneth L. Sokoloff Chair in Economic History,http://www.econ.ucla.edu/costa/
Levi Crews,Assistant Professor,https://www.levicrews.com/
Pablo Fajgelbaum,Dubchansky Chair in Economics,https://pfajgelbaum.scholar.ss.ucla.edu/
Michela Giorcelli,Associate Professor,http://www.giorcellimichela.com/
Felipe Goncalves,Assistant Professor,https://www.fmgoncalves.com/
Joao Guerreiro,Assistant Professor,https://jguerreiro.com/
Daniel Haanwinckel,Assistant Professor,https://haanwinckel.github.io/
Martin B. Hackmann,Associate Professor,https://martinhackmann.wordpress.com/
Jinyong Hahn,Distinguished Professor of Economics,
Gary D. Hansen,Professor,
Hugo Hopenhayn,Professor,http://hopenhayn.weebly.com
Patrick Kennedy,Assistant Professor,https://sites.google.com/view/patrick-kennedy/home
Zhipeng Liao,Professor,http://www.econ.ucla.edu/liao/
Adriana Lleras-Muney,Professor,https://adriana-llerasmuney.squarespace.com/
Juliana Londoño-Vélez,Assistant Professor,https://sites.google.com/site/julianalondonovelez/home
Jay Lu,Associate Professor,http://www.econ.ucla.edu/jay/about.html
Rosa Matzkin,Charles E. Davidson Distinguished Professor of Economics,https://sites.google.com/view/rlm-econ/home
Maurizio Mazzocco,Professor,http://www.econ.ucla.edu/mazzocco
Kathleen McGarry,Professor,https://mcgarry.scholar.ss.ucla.edu/
Moritz Meyer-ter-Vehn,Professor,http://www.econ.ucla.edu/mtv/
Ichiro Obara,Professor,https://sites.google.com/site/ichiroobara/
Filip Obradovic,Assistant Professor,https://filipobradovic.com/
Lee E. Ohanian,Distinguished Professor of Economics,http://www.leeohanian.com
Will Rafey,Assistant Professor,https://rafey.io/
Michael Rubens,Assistant Professor,https://michaelrubens.github.io/
Tomasz Sadzik,Associate Professor,https://sites.google.com/view/tsadzik/home
Andres Santos,Professor,http://www.econ.ucla.edu/andres/
Yotam Shem-Tov,Assistant Professor,https://yotamshemtov.github.io/
Bernardo S. Silveira,Assistant Professor,http://www.bernardosilveira.net/
Aaron Tornell,Professor,http://www.aaron-tornell.com/
Jonathan Vogel,Professor,http://www.econ.ucla.edu/jvogel/
Till Von Wachter,Professor,http://www.econ.ucla.edu/tvwachter
Pierre-Olivier Weill,Professor,http://sites.google.com/site/pierreolivierweill/
