Name,Position,Personal Website
Titan Alon,Assistant Professor,https://sites.google.com/view/titan-alon
Samuel Bazzi,Professor,https://sites.google.com/site/samuelbazzi/
Eli Berman,"Professor, IGCC Research Director",http://econ.ucsd.edu/~elib/#
Julian R. Betts,Professor,http://econ.ucsd.edu/~jbetts/
Prashant Bharadwaj,Professor and Placement Director,http://dss.ucsd.edu/~prbharadwaj
Judd Boomhower,Associate Professor,http://www.judsonboomhower.com/
Richard T. Carson,Professor,http://econ.ucsd.edu/~rcarson/
Jeffrey Clemens,"Professor, CEPA Director",http://econweb.ucsd.edu/~j1clemens/
Julie Berry Cullen,Professor,http://dss.ucsd.edu/~jbcullen
Gordon B. Dahl,Professor,http://dss.ucsd.edu/~gdahl/index.html
Songzi Du,Associate Professor,https://econweb.ucsd.edu/~sodu
Fabian Eckert,Assistant Professor,http://www.fpeckert.me
Graham Elliott,"Sir Clive W.J. Granger Endowed Chair in Econometrics, Professor",http://econ.ucsd.edu/~gelliott/
Itzik Fadlon,Associate Professor,http://pages.ucsd.edu/~yfadlon/
Alexander Gelber,Associate Professor,http://users.nber.org/~agelber/
Josh Graff Zivin,Professor,https://www.joshgraffzivin.com/
James D. Hamilton,"Robert F. Engle Endowed Chair in Econometrics, Distinguished Professor",http://dss.ucsd.edu/~jhamilto
Juan Herreño,Assistant Professor,https://sites.google.com/view/juanherreno
Clemence Idoux,Assistant Professor,https://sites.google.com/view/clemence-idoux/home?pli=1
Mark Jacobsen,Professor,http://www.econ.ucsd.edu/~m3jacobs/
Nir Jaimovich,"Anonymous Family Chancellor Endowed Chair in Macroeconomics, Professor",http://nirjaimovich.com
Sara Lowes,Associate Professor,http://www.saralowes.com/
Xinwei Ma,Associate Professor,https://sites.google.com/view/xinweima
Katherine Meckel,Associate Professor and Vice Chair of Graduate Studies,https://sites.google.com/view/katherinemeckel/home
Marc Muendler,"Professor, Department Chair",http://econweb.ucsd.edu/~mmuendler/
Karthik Muralidharan,"Tata Chancellor's Endowed Professorship in Economics, Professor",http://econ.ucsd.edu/~kamurali/
Paul Niehaus,"Chancellor’s Associates Endowed Chair in Economics, Professor",http://dss.ucsd.edu/~pniehaus/index.html
Denis Shishkin,Assistant Professor,https://denisshishkin.com/
Yixiao Sun,Professor,http://econ.ucsd.edu/~yisun/
Allan Timmermann,Professor,https://rady.ucsd.edu/faculty-research/faculty/allan-timmermann.html
Isabel Trevino,Associate Professor,http://econweb.ucsd.edu/~itrevino/
Fabian Trottner,Assistant Professor,http://trottner.me/
Emanuel Vespa,"Professor, Faculty Director of Student Advising",https://sites.google.com/site/emanuelvespa/
Suhas Vijaykumar,Assistant Professor,https://sites.google.com/view/suhasv/home
Tom Vogl,"Associate Professor, VC of Undergraduate Studies and Instruction",https://tomvogl.github.io
Joel Watson,Professor,http://econ.ucsd.edu/~jwatson/
Johannes Wieland,"Distinguished Endowed Chair in Macroeconomics and Public Finance, Professor",https://johanneswieland.github.io
Steve Pak Yeung Wu,Assistant Professor,https://sites.google.com/view/stevewu/home
Ying Zhu,Associate Professor,https://sites.google.com/view/ying-zhu/ying-zhu
