Name,Position,Personal Website
Marianne Andries,Assistant Professor of Economics,https://sites.google.com/site/marianneandries/
Timothy Armstrong,Professor of Economics,https://tbarmstr.github.io/
Yuehao Bai,Assistant Professor of Economics,https://yuehaob.github.io
Vittorio Bassi,Associate Professor of Economics,http://www.vittoriobassi.com/
Caroline Betts,Professor of Economics,
Isabelle Brocas,Professor of Economics,http://isabellebrocas.org
Juan Carrillo,Professor of Economics,http://www.jdcarrillo.org
Thomas Chaney,John Elliott Chair in Economics and Professor of Economics,https://sites.google.com/site/thomaschaney/home
Giorgio Coricelli,Professor of Economics and Psychology,
Robert Dekle,Professor of Economics,http://sites.google.com/site/robertsiteproject/
Michael Deprano,Associate Professor of Economics,
Milena Djourelova,Assistant Professor of Economics,https://milenadjourelova.github.io
Michael Droste,Assistant Professor of Economics,
Mengsi Gao,Assistant Professor of Economics,https://sites.google.com/view/mengsi-gao
Cheng Hsiao,Professor of Economics,
Matthew Kahn,Provost Professor of Economics and Spatial Sciences,
Pablo Kurlat,Professor of Economics,https://sites.google.com/view/pkurlat
Nicolas Lambert,Professor of Economics,https://ai.stanford.edu/~nlambert/
Jonathan Libgober,Assistant Professor of Economics,
Michael Magill,Professor of Economics,
Hyungsik Roger Moon,Professor of Economics,
Monica Morlacco,Assistant Professor of Economics,http://monicamorlacco.com
Afshin Nikzad,Associate Professor of Economics,http://afshin-nikzad.com
Paulina Oliva,Professor of Economics and Spatial Sciences,
Simon Quach,Assistant Professor of Economics,
Romain Ranciere,Professor of Economics and Finance and Business Economics,https://rranciere.academia.edu/
Geert Ridder,Professor of Economics,
David Schonholzer,Assistant Professor of Economics,https://www.davidschonholzer.com/
John Strauss,Professor of Economics,
Guofu Tan,Professor of Economics,
Jeffrey Weaver,Assistant Professor of Economics,http://www.jeff-weaver.com/
