Name,Position,Personal Website
Miguel Acosta,Assistant Professor,http://www.acostamiguel.com/
Naoki Aizawa,Associate Professor,https://sites.google.com/site/naokiaizawaweb/
Panle Barwick,"Professor, Todd E. and Elizabeth H. Warnock Distinguished Chair",https://panlebarwick.github.io/
Benjamin Bernard,Assistant Professor,http://www.benjamin-bernard.com/
Job Boerma,Assistant Professor,https://jobboerma.com/
Carter  Braxton,Assistant Professor,https://sites.google.com/site/jcarterbraxton/home
Yong Cai,Assistant Professor,https://yong-cai.github.io/
Matteo Camboni,Assistant Professor,https://sites.google.com/view/matteocamboni
Harold Chiang,Assistant Professor,https://sites.google.com/view/haroldchiang/home
Menzie Chinn,Professor,http://www.ssc.wisc.edu/~mchinn/
Dean Corbae,"Professor, William Sellery Trukenbrod Chair in Finance",https://sites.google.com/a/wisc.edu/deancorbae/home
Louphou Coulibaly,Assistant Professor,https://sites.google.com/site/louphoucoulibaly
Lydia Cox,Assistant Professor,https://coxlydia.com/
Raymond Deneckere,Professor,
Charles Engel,"Professor, Donald D. Hester Distinguished Chair",http://www.ssc.wisc.edu/~cengel/
Chao Fu,"Professor, Mary Claire Aschenbrener Phipps Distinguished Chair",http://www.ssc.wisc.edu/~cfu/
Jesse Gregory,Associate Professor,http://www.ssc.wisc.edu/~jmgregory/
Agustin Gutierrez,Assistant Professor,http://gutierrezagustin.com/
Bruce Hansen,"Professor, Mary Claire Aschenbrener Phipps Distinguished Chair",http://www.ssc.wisc.edu/~bhansen/
Kenneth Hendricks,"Professor, Laurits R. Christensen Distinguished Chair",http://ssc.wisc.edu/~hendrick/
Jean-Francois Houde,"Professor, David Edwin and Lucille Hartmann Davies Chair in Economics",https://jfhoude.econ.wisc.edu/
Karam Kang,"Associate Professor, Laurits R. Christensen Professor in Economics",https://karamkang.github.io/
John Kennan,"Professor, Juli Plant Grainger Distinguished Chair",https://www.ssc.wisc.edu/~jkennan/
Rishabh Kirpalani,"Professor, Scott and Kathryn Happ Professor of Economics",https://www.rkirpalani.com/
Rasmus Lentz,"Professor, Richard A. and Susan B. Strait Professor",https://sites.google.com/a/wisc.edu/rasmus-lentz/
Lorenzo Magnolfi,Assistant Professor,http://lorenzomagnolfi.com/
Corina Mommaerts,"Associate Professor, Brian L. and Brigid O. Hazen Professorship in Economics",https://sites.google.com/site/corinamommaerts/
Martin O'Connell,Assistant Professor,https://sites.google.com/site/drmartinoconnell/
Jack Porter,"Professor, Richard E. Stockwell Distinguished Chair",http://www.ssc.wisc.edu/~jrporter/
Daniel Quint,"Professor, Bartlett Family Professor of Economics",http://www.ssc.wisc.edu/~dquint/
Fernanda Rojas-Ampuero,Assistant Professor,https://www.fernandarojasam.com/
Marzena Rostek,"Professor, Juli Plant Grainger Distinguished Chair",http://www.ssc.wisc.edu/~mrostek/
Kim Ruhl,"Professor, Curt and Sue Culver Chair of Economics",http://kimjruhl.com/
Laura Schechter,"Professor, Vilas Distinguished Achievement Professor",https://users.ssc.wisc.edu/~lschechter/
Ananth Seshadri,"Professor, Mary Sue & Mike Shannon Distinguished Chair",http://www.ssc.wisc.edu/~aseshadr/
Xiaoxia Shi,"Professor, Lowell and Leila Robinson Distinguished Chair",http://ssc.wisc.edu/~xshi/
Jeffrey Smith,"Professor, Paul T. Heyne Distinguished Chair in Economics",https://sites.google.com/site/econjeffsmith/home
Lones Smith,"Professor, Maude P. & Milton J. Shoemaker Distinguished Chair",http://lonessmith.com/
Alan Sorensen,"Professor, John and Tashia Morgridge Distinguished Chair",http://ssc.wisc.edu/~sorensen/
Ashley Swanson,"Associate Professor, Douglas W. and Sherry A. Caves Professor of Economics",https://www.ashley-terese-swanson.com/
Christopher Taber,"Professor, James J. Heckman Professor",http://www.ssc.wisc.edu/~ctaber/
Marek Weretka,"Professor, Stuart & Brenda McCroskey Professor of Economics",http://www.ssc.wisc.edu/~mweretka/
Kenneth West,"Professor, John D. MacArthur Professor",http://www.ssc.wisc.edu/~kwest/
Randall Wright,"Professor, Ray Zemon Professor of Liquid Assets",https://business.wisc.edu/directory/profile/randall-wright/
Alice Wu,Assistant Professor,http://www.alicewu.io/
Kohei Yata,Assistant Professor,https://www.koheiyata.com/
