Name,Position,Personal Website
Samuel Kortum,Departmental Chair and James Burrows Moffatt Professor of Economics,https://campuspress.yale.edu/samuelkortum/
Joseph Altonji,Thomas DeWitt Cuyler Professor of Economics,https://sites.google.com/yale.edu/joseph-altonji/home
Donald Andrews,Tjalling C. Koopmans Professor of Economics,
Costas Arkolakis,Professor of Economics,http://www.arkolakis.com
Orazio Attanasio,Cowles Professor of Economics,https://campuspress.yale.edu/orazioattanasio/
Dirk Bergemann,Douglass and Marion Campbell Professor of Economics,http://campuspress.yale.edu/dirkbergemann/
Lauren Falcao Bergquist,Assistant Professor of Economics and Global Affairs,https://sites.google.com/site/laurenfbergquist/
Steven Berry,Sterling Professor of Economics,https://sites.google.com/site/stberry/
Leah Boustan,Professor of Economics,
Xiaohong Chen,Malcolm K. Brachman Professor of Economics,https://scholar.google.com/citations?user=w_wRq7cAAAAJ&hl=en
Timothy Christensen,Professor of Economics,https://tmchristensen.com
Cody Cook,Assistant Professor of Economics,https://www.cody-cook.com/
Janet Currie,David Swensen Professor of Economics,
Max Cytrynbaum,Assistant Professor of Economics,https://mcytrynbaum.github.io
Eduardo Dávila,Assistant Professor of Economics,http://www.eduardodavila.com
José-Antonio Espín-Sánchez,Associate Professor (on term) of Economics,https://campuspress.yale.edu/espin/
Ray C. Fair,John M. Musser Professor of Economics,http://fairmodel.econ.yale.edu/
Mayara Felix,Assistant Professor of Economics and Global Affairs,https://www.mayarafelix.com/
Joel Flynn,Assistant Professor of Economics,https://joelflynn.com/
John Geanakoplos,James Tobin Professor of Economics,http://campuspress.yale.edu/johngeanakoplos/
Pinelopi Koujianou Goldberg,William Nordhaus Professor of Economics and Global Affairs,https://campuspress.yale.edu/pennygoldberg/
Philip Haile,Ford Foundation Professor of Economics,https://sites.google.com/view/philhaile
Marina Halac,Stanley B. Resor Professor of Economics,https://sites.google.com/view/marinahalac
Charles Hodgson,Assistant Professor of Economics,https://campuspress.yale.edu/hodgson/
John Eric Humphries,Assistant Professor of Economics,http://johnerichumphries.com/
Zhen Huo,Associate Professor of Economics,https://zhenhuo.weebly.com/
Gerald Jaynes,"A. Whitney Griswold Professor of Economics, Black Studies, and Urban Studies",
Navin Kartik,Professor,https://navinkartik.com/
Amit Khandelwal,Dong-Soo Hahn Professor of Global Affairs and Economics,https://akhandelwal8.github.io
Yuichi Kitamura,Alfred Cowles Professor of Economics; Director of Graduate Studies,https://kitamura.sites.yale.edu/
Ilse Lindenlaub,Associate Professor of Economics,https://sites.google.com/site/ilselindenlaub
Elliot Lipnowski,Associate Professor of Economics,https://elliotlipnowski.com/
Giovanni Maggi,Howard H. Leach Professor of Economics and International Affairs; Director of Undergraduate Studies,
Victoria Marone,Assistant Professor of Economics,https://www.victoriamarone.com/
Costas Meghir,Douglas A. Warner III Professor of Economics,https://sites.google.com/yale.edu/costasmeghir/home
Mushfiq Mobarak,Jerome Kasoff '54 Professor of Management and Economics,http://faculty.som.yale.edu/mushfiqmobarak/
Giuseppe Moscarini,Philip Golden Bartlett Professor of Economics,http://campuspress.yale.edu/moscarini/
Kaivan Munshi,Frederick W. Beinecke Professor of Economics,https://campuspress.yale.edu/kaivanmunshi/
Yusuke Narita,Assistant Professor of Economics,http://www.yusuke-narita.com
Christopher A. Neilson,Professor of Economics and Global Affairs,https://christopherneilson.github.io
Cormac O'Dea,Assistant Professor of Economics,https://sites.google.com/site/cormacodea/home
Gerard Padró i Miquel,Samuel C. Park Jr. (B.A. 1925) Professor of Economics,https://www.gerardpadro.com/
Rohini Pande,Henry J. Heinz II Professor of Economics; Director of the Economic Growth Center,http://campuspress.yale.edu/rpande/
Michael Peters,Associate Professor of Economics; Associate Chair of the Department of Economics,http://mipeters.weebly.com
Benjamin Polak,William C. Brainard Professor of Economics,
Pascual Restrepo,Associate Professor of Economics,https://campuspress.yale.edu/pascualrestrepo/
Mark Rosenzweig,Frank Altschul Professor of Economics,
Nicholas Ryan,Associate Professor of Economics,http://campuspress.yale.edu/nicholasryan/
Larry Samuelson,A. Douglas Melamed Professor of Economics,https://sites.google.com/site/larryatyale/
Katja Seim,Sharon Oster Professor of Economics and Management,
Tony Smith,"FAS Dean of Social Science; William K. Lanman, Jr. Professor of Economics and Professor of Management",http://aida.wss.yale.edu/smith/
Philipp Strack,Director of the Cowles Foundation for Research in Economics; Cowles Foundation Professor of Economics,http://philippstrack.com
Aleh Tsyvinski,Arthur M. Okun Professor of Economics,
Winnie van Dijk,Assistant Professor of Economics,https://sites.google.com/site/winnielillianvandijk/
Ed Vytlacil,Professor of Economics,
Fabrizio Zilibotti,Tuntex Professor of International and Development Economics,https://campuspress.yale.edu/zilibotti/
